Proveedor,Pais,Articulo,Detalle,Costo,Ganancia,Cantidad,PrecioOrigen,Moneda,PrecioConvertido,PrecioManual,PrecioArgDolar,PrecioArgenPesos,PrecioVenta,CotizacionDolar
ALPACA MEXICANA,MEXICO,7798220000018,aros alp mexi chico c/ba–o AM1,,,0,10,,7,,0,0,,15.69
ALPACA MEXICANA,MEXICO,7798230000022,pulsera alp mex doble fleje c/ba–o PAM2,1,1.7,0,3.9,ARG,13.2,0,13.9,0,23.6,15.69
ANA CHINA,ARGENTINA,7798240010011,DIJE DE ACERO ACD1,1,1.4,0,2.4,ARG,4.5,,1.95,0,2.7,15.69
ANA CHINA,ARGENTINA,7798240010028,DIJE DE ACERO ACD2,1,1.4,0,7.8,ARG,9.8,,1.95,0,2.7,15.69
ANA CHINA,ARGENTINA,7798240010035,DIJE DE ACERO ACD3,1,1.4,0,12.35,ARG,15.4,,1.95,0,2.7,15.69
ANA CHINA,ARGENTINA,7798240010042,DIJE DE ACERO ACD4,1,1.4,0,3,ARG,1.95,,1.95,0,2.7,15.69
ANA CHINA,ARGENTINA,7798240010059,DIJE DE ACERO ACD5,1,1.4,0,20.9,ARG,21.5,0,1.95,0,2.7,15.69
ANA CHINA,ARGENTINA,7798240010066,DIJE DE ACERO ACD6,1,1.4,0,3,ARG,4,,1.95,0,2.7,15.69
ANA CHINA,ARGENTINA,7798240020010,CADENA ROLO ACR1,1,1.4,0,25.5,ARG,6,0,22.5,0,31.5,15.69
ANA CHINA,ARGENTINA,7798240020027,CADENA ACERO ACR2,1,1.4,0,12,ARG,16.2,0,16.2,0,22.65,15.69
ANA CHINA,ARGENTINA,7798240030019,pulsera de acero apr1 4mm (19cm),1,1.4,0,1,ARG,9.1,,9,0,12.6,15.69
ANA CHINA,ARGENTINA,7798240030026,pulsera de acero APR2,1,1.4,0,2.3,ARG,19.8,,19.8,0,27.7,15.69
ANA CHINA,ARGENTINA,7798240030033,pulserade acero APR3  5.8mm (22cm),1,1.4,0,12.56,ARG,13.5,0,11.25,0,15.75,15.69
ANA CHINA,ARGENTINA,7798131300016,Cajitas de regalo  caja01,1,1.5,3,1.3,,0,4.5,0,5.6,8.4,15.69
ANA CHINA,ARGENTINA,7798131300023,Cajitas regalo caja02,1,1.5,27,17,,0,11.33,0,11.92,17.85,15.69
ANA CHINA,ARGENTINA,7798131300030,Cajitas regalo caja03,1,1.5,5,11.24,,0,7.875,0,7.875,11.8,15.69
ANA CHINA,ARGENTINA,7798131300047,Cajas de regalo Caja04,1,1.5,38,1,,0,5,0,11.25,16.85,15.69
ANTONIO,ARGENTINA,7798260000566,pulsera alpaca PA56,1,1.8,3,17,ARG,19,0,19,0,34.2,15.69
